[2026-09-25T16:50:59.671Z] !! poll start: /home/sahur/orca/workspaces/RouteLoom/hil-bench/host/target/debug/routeloomctl --socket /tmp/routeloom-hil-2026-09-26.sock deliveries every 0.5s
[2026-09-25T16:50:59.672Z] {"deliveries":[{"request":1,"destination":2,"state":"sent","reason":null,"msg_session":null,"msg_seq":null,"updated_ms":1790355059671}]}
[2026-09-25T16:51:00.172Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:00.672Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:01.172Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:01.674Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:02.173Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:02.673Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:03.173Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:03.673Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:04.174Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:04.674Z] {"deliveries":[{"request":1,"destination":2,"state":"waiting-for-route","reason":"NO_ROUTE","msg_session":103,"msg_seq":1,"updated_ms":1790355059675}]}
[2026-09-25T16:51:05.174Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:05.674Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:06.174Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:06.675Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:07.175Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:07.675Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:08.175Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:08.675Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:09.176Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:09.675Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:10.176Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
